Numero;Função;Nome;Data nascimento;Nacionalidade;Freguesia;Concelho;Distrito;Estado Civil;Cônjuge;Morada;Telemóvel;Telefone;E-mail;Habilitações Literárias;Cartão de cidadão;N.I.S.S
1;Administrativo;Bradley Kaká;18-11-1999;Portuguesa;Barcelos;Barcelos;Braga;Solteiro;;Rua de Barcelos Nº71 4750 - Barcelos;970583077;987112719;Bradley.Kaká@piscinasbarcacellos.pb;Licenciatura;22001356;62672119983
2;Manutenção de equipamentos;Karnjeet Pata;4-7-1971;Portuguesa;Martim;Barcelos;Braga;Solteiro;;Rua de Martim Nº31 4750 - Barcelos;997339575;911186169;Karnjeet.Pata@piscinasbarcacellos.pb;Mestrado;10789229;39709832119
3;Limpeza;Chenyu Jó;24-7-1972;Portuguesa;Moure;Barcelos;Braga;Casado;Scarlett Tatá;Rua de Moure Nº40 4750 - Barcelos;954327202;942271273;Chenyu.Jó@piscinasbarcacellos.pb;Mestrado;96241698;46925669036
4;Manutenção;Spencer Cebolinha;19-2-1990;Portuguesa;Oliveira;Barcelos;Braga;Casado;Layan Papa;Rua de Oliveira Nº96 4750 - Barcelos;981115046;946246655;Spencer.Cebolinha@piscinasbarcacellos.pb;Licenciatura;41853778;39675410194
5;Socorrista;Noel Mundinho;27-11-1973;Portuguesa;Palme;Barcelos;Braga;Casado;Alfredo Fafá;Rua de Palme Nº11 4750 - Barcelos;940429810;981153364;Noel.Mundinho@piscinasbarcacellos.pb;Secundário;36221698;31385037780
6;Administrativo;Nilson JP;22-10-1997;Portuguesa;Panque;Barcelos;Braga;Casado;Gilcélio Jacaré;Rua de Panque Nº23 4750 - Barcelos;963980930;975263753;Nilson.JP@piscinasbarcacellos.pb;Mestrado;34756626;13003729308
7;Limpezas;Marle Duduzinho;2-1-1998;Portuguesa;Paradela;Barcelos;Braga;Solteiro;;Rua de Paradela Nº40 4750 - Barcelos;932999726;991975623;Marle.Duduzinho@piscinasbarcacellos.pb;Licenciatura;46208885;93346470619
8;Manutenção;Elizabeth Jó;21-3-1992;Portuguesa;Pereira;Barcelos;Braga;Casado;Rider Géu;Rua de Pereira Nº45 4750 - Barcelos;917977489;919322979;Elizabeth.Jó@piscinasbarcacellos.pb;Licenciatura;81656399;51864708471
9;Administrativa;Evelyne Pépe;25-1-1999;Portuguesa;Perelhal;Barcelos;Braga;Casado;Suellen Ganso;Rua de Perelhal Nº66 4750 - Barcelos;984198370;984454565;Evelyne.Pépe@piscinasbarcacellos.pb;Secundário;56222321;99011061426
10;Salva-vidas;íris Tulio;25-2-1970;Portuguesa;Pousa;Barcelos;Braga;Casado;Stevany Careca;Rua de Pousa Nº14 4750 - Barcelos;992480978;915014877;íris.Tulio@piscinasbarcacellos.pb;Mestrado;11653349;26540723394
11;Administrativo;Lueji Preto;13-5-1985;Portuguesa;Arcozelo;Barcelos;Braga;Casado;Zlata Fafá;Rua de Arcozelo Nº68 4750 - Barcelos;913830999;958535485;Lueji.Preto@piscinasbarcacellos.pb;Mestrado;57803543;30304049334
