Numero;Nome;Data nascimento;Nacionalidade;Freguesia;Concelho;Distrito;Estado Civil;Cônjuge;Morada;Código Postal;Localidade;Telemóvel;Telefone;E-mail;Habilitações Literárias;Cartão de cidadão;N.I.S.S
1;Stevan Véi;2-10-1990;Portuguesa;Barcelos;Barcelos;Braga;Casado;Florence Bananinha;Rua de Barcelos Nº87;4750;Barcelos;990600185;999129094;Stevan.Véi@piscinasbarcacellos.pb;Secundário;52519685;46997116679
2;Harrison Jiló;9-11-1993;Portuguesa;Martim;Barcelos;Braga;Solteiro;;Rua de Martim Nº5;4750;Barcelos;920099168;942472067;Harrison.Jiló@piscinasbarcacellos.pb;Secundário;37509313;15268135287
3;Sulamita Quita;21-8-1970;Portuguesa;Moure;Barcelos;Braga;Solteiro;;Rua de Moure Nº94;4750;Barcelos;936350916;967779381;Sulamita.Quita@piscinasbarcacellos.pb;Licenciatura;91533035;41573392821
4;Alisha Pretinho;12-12-2000;Portuguesa;Oliveira;Barcelos;Braga;Casado;Jesus Dema;Rua de Oliveira Nº67;4750;Barcelos;934200976;912491263;Alisha.Pretinho@piscinasbarcacellos.pb;Licenciatura;57881439;55719751550
5;Máximo Mel;18-11-1982;Portuguesa;Palme;Barcelos;Braga;Casado;Lisbon Pica-Pau;Rua de Palme Nº23;4750;Barcelos;984531551;915982832;Máximo.Mel@piscinasbarcacellos.pb;Mestrado;76806682;91747949282
6;Nuryam Lunga;26-11-1993;Portuguesa;Panque;Barcelos;Braga;Casado;Abrão Juca;Rua de Panque Nº9;4750;Barcelos;940333825;968932462;Nuryam.Lunga@piscinasbarcacellos.pb;Secundário;32613051;84852815393
7;Juisney Quita;25-7-1974;Portuguesa;Paradela;Barcelos;Braga;Solteiro;;Rua de Paradela Nº50;4750;Barcelos;922374711;915158438;Juisney.Quita@piscinasbarcacellos.pb;Licenciatura;91006530;27176168383
8;Dora Papa;15-6-1989;Portuguesa;Pereira;Barcelos;Braga;Solteiro;;Rua de Pereira Nº77;4750;Barcelos;941689220;965718502;Dora.Papa@piscinasbarcacellos.pb;Secundário;50927748;61181827006
9;Bhidan Fofão;16-11-1973;Portuguesa;Perelhal;Barcelos;Braga;Solteiro;;Rua de Perelhal Nº24;4750;Barcelos;956371291;920220368;Bhidan.Fofão@piscinasbarcacellos.pb;Secundário;56462210;32663722826
10;Yossef Alê;10-2-1974;Portuguesa;Pousa;Barcelos;Braga;Casado;Marthyn Been;Rua de Pousa Nº45;4750;Barcelos;933291296;959291671;Yossef.Alê@piscinasbarcacellos.pb;Secundário;48969218;60421773803
11;Davron Duquinha;16-6-1976;Portuguesa;Arcozelo;Barcelos;Braga;Casado;Steffany Dida;Rua de Arcozelo Nº65;4750;Barcelos;917665571;998981275;Davron.Duquinha@piscinasbarcacellos.pb;Licenciatura;53423760;80601248499
12;Leydilson Juca;10-9-1992;Portuguesa;Aborim;Barcelos;Braga;Solteiro;;Rua de Aborim Nº74;4750;Barcelos;953337492;957424319;Leydilson.Juca@piscinasbarcacellos.pb;Secundário;38838937;85300575846
13;Osvaldo Tico;25-8-1972;Portuguesa;Adães;Barcelos;Braga;Casado;Victória Guinho;Rua de Adães Nº54;4750;Barcelos;958099444;912458479;Osvaldo.Tico@piscinasbarcacellos.pb;Mestrado;75309502;46870657832
14;Christiane Netinho;9-6-1977;Portuguesa;Airó;Barcelos;Braga;Casado;Gaia Pepê;Rua de Airó Nº5;4750;Barcelos;994372368;949769731;Christiane.Netinho@piscinasbarcacellos.pb;Licenciatura;57922704;44687405699
15;Mayson Bela;1-6-1998;Portuguesa;Aldreu;Barcelos;Braga;Casado;Tanveen Tica;Rua de Aldreu Nº7;4750;Barcelos;943298397;980645906;Mayson.Bela@piscinasbarcacellos.pb;Mestrado;78764118;25366307246
16;Nicolae Nik;4-11-1978;Portuguesa;Alvelos;Barcelos;Braga;Casado;Zoé Quinca;Rua de Alvelos Nº74;4750;Barcelos;986278844;946869744;Nicolae.Nik@piscinasbarcacellos.pb;Mestrado;86497742;52960528398
17;Itamara Xuxa;23-2-1988;Portuguesa;Arcozelo;Barcelos;Braga;Solteiro;;Rua de Arcozelo Nº61;4750;Barcelos;990288102;938603967;Itamara.Xuxa@piscinasbarcacellos.pb;Secundário;41610220;70283332056
18;Keimilly Benta;13-8-1992;Portuguesa;Balugães;Barcelos;Braga;Solteiro;;Rua de Balugães Nº54;4750;Barcelos;993839285;994946754;Keimilly.Benta@piscinasbarcacellos.pb;Secundário;27288455;12211246181
19;Lícia Tom;8-7-1975;Portuguesa;Barcelinhos;Barcelos;Braga;Solteiro;;Rua de Barcelinhos Nº93;4750;Barcelos;927267844;997510582;Lícia.Tom@piscinasbarcacellos.pb;Secundário;24270080;80338118688
20;kevin Chaves;19-3-1995;Portuguesa;Barqueiros;Barcelos;Braga;Casado;Zita Jamanta;Rua de Barqueiros Nº48;4750;Barcelos;957563854;961334651;kevin.Chaves@piscinasbarcacellos.pb;Secundário;89366317;27190260000
21;Dhiyanshi Piu;23-3-1980;Portuguesa;Cambeses;Barcelos;Braga;Casado;Ion Papa;Rua de Cambeses Nº12;4750;Barcelos;927523378;978652443;Dhiyanshi.Piu@piscinasbarcacellos.pb;Mestrado;96649975;30974791460
22;Vidhi Sena;10-9-1993;Portuguesa;Carapeços;Barcelos;Braga;Solteiro;;Rua de Carapeços Nº67;4750;Barcelos;946987915;967580496;Vidhi.Sena@piscinasbarcacellos.pb;Licenciatura;20037708;30628901321
23;Geovana Déca;6-1-1976;Portuguesa;Carvalhal;Barcelos;Braga;Casado;Viktoria Sol;Rua de Carvalhal Nº79;4750;Barcelos;974769487;938193807;Geovana.Déca@piscinasbarcacellos.pb;Licenciatura;39726508;23233067888
24;Djamal Negão;3-2-1992;Portuguesa;Carvalhas;Barcelos;Braga;Solteiro;;Rua de Carvalhas Nº31;4750;Barcelos;953210485;943467461;Djamal.Negão@piscinasbarcacellos.pb;Licenciatura;81480817;56769160915
