Numero;Função;Nome;Data nascimento;Nacionalidade;Freguesia;Concelho;Distrito;EstCivil;Cônjuge;Morada;CodPostal;Localidade;Telemóvel;Telefone;E-mail;HabLit;;CC
1;2;Bradley Kaká;18/11/1999;1;Barcelos;Barcelos;Braga;2;;Rua de Barcelos Nº71;4750;Barcelos;970583077;987112719;Bradley.Kaká@piscinasbarcacellos.pb;1;22001356;62672119983
2;7;Karnjeet Pata;04/07/1971;1;Martim;Barcelos;Braga;2;;Rua de Martim Nº31;4750;Barcelos;997339575;911186169;Karnjeet.Pata@piscinasbarcacellos.pb;2;10789229;39709832119
3;3;Chenyu Jó;24/07/1972;1;Moure;Barcelos;Braga;1;Scarlett Tatá;Rua de Moure Nº40;4750;Barcelos;954327202;942271273;Chenyu.Jó@piscinasbarcacellos.pb;2;96241698;46925669036
4;4;Spencer Cebolinha;19/02/1990;1;Oliveira;Barcelos;Braga;1;Layan Papa;Rua de Oliveira Nº96;4750;Barcelos;981115046;946246655;Spencer.Cebolinha@piscinasbarcacellos.pb;1;41853778;39675410194
5;5;Noel Mundinho;27/11/1973;1;Palme;Barcelos;Braga;1;Alfredo Fafá;Rua de Palme Nº11;4750;Barcelos;940429810;981153364;Noel.Mundinho@piscinasbarcacellos.pb;3;36221698;31385037780
6;2;Nilson JP;22/10/1997;1;Panque;Barcelos;Braga;1;Gilcélio Jacaré;Rua de Panque Nº23;4750;Barcelos;963980930;975263753;Nilson.JP@piscinasbarcacellos.pb;2;34756626;13003729308
7;3;Marle Duduzinho;02/01/1998;1;Paradela;Barcelos;Braga;2;;Rua de Paradela Nº40;4750;Barcelos;932999726;991975623;Marle.Duduzinho@piscinasbarcacellos.pb;1;46208885;93346470619
8;4;Elizabeth Jó;21/03/1992;1;Pereira;Barcelos;Braga;1;Rider Géu;Rua de Pereira Nº45;4750;Barcelos;917977489;919322979;Elizabeth.Jó@piscinasbarcacellos.pb;1;81656399;51864708471
9;2;Evelyne Pépe;25/01/1999;1;Perelhal;Barcelos;Braga;1;Suellen Ganso;Rua de Perelhal Nº66;4750;Barcelos;984198370;984454565;Evelyne.Pépe@piscinasbarcacellos.pb;3;56222321;99011061426
10;6;íris Tulio;25/02/1970;1;Pousa;Barcelos;Braga;1;Stevany Careca;Rua de Pousa Nº14;4750;Barcelos;992480978;915014877;íris.Tulio@piscinasbarcacellos.pb;2;11653349;26540723394
11;2;Lueji Preto;13/05/1985;1;Arcozelo;Barcelos;Braga;1;Zlata Fafá;Rua de Arcozelo Nº68;4750;Barcelos;913830999;958535485;Lueji.Preto@piscinasbarcacellos.pb;2;57803543;30304049334
12;1;Leydilson Juca;10/09/1992;1;Aborim;Barcelos;Braga;2;;Rua de Aborim Nº74;4750;Barcelos;953337492;957424319;Leydilson.Juca@piscinasbarcacellos.pb;3;38838937;85300575846
13;1;Osvaldo Tico;25/08/1972;1;Adães;Barcelos;Braga;1;Victória Guinho;Rua de Adães Nº54;4750;Barcelos;958099444;912458479;Osvaldo.Tico@piscinasbarcacellos.pb;2;75309502;46870657832
14;1;Christiane Netinho;09/06/1977;1;Airó;Barcelos;Braga;1;Gaia Pepê;Rua de Airó Nº5;4750;Barcelos;994372368;949769731;Christiane.Netinho@piscinasbarcacellos.pb;1;57922704;44687405699
15;1;Mayson Bela;01/06/1998;1;Aldreu;Barcelos;Braga;1;Tanveen Tica;Rua de Aldreu Nº7;4750;Barcelos;943298397;980645906;Mayson.Bela@piscinasbarcacellos.pb;2;78764118;25366307246
16;1;Nicolae Nik;04/11/1978;1;Alvelos;Barcelos;Braga;1;Zoé Quinca;Rua de Alvelos Nº74;4750;Barcelos;986278844;946869744;Nicolae.Nik@piscinasbarcacellos.pb;2;86497742;52960528398
17;1;Itamara Xuxa;23/02/1988;1;Arcozelo;Barcelos;Braga;2;;Rua de Arcozelo Nº61;4750;Barcelos;990288102;938603967;Itamara.Xuxa@piscinasbarcacellos.pb;3;41610220;70283332056
18;1;Keimilly Benta;13/08/1992;1;Balugães;Barcelos;Braga;2;;Rua de Balugães Nº54;4750;Barcelos;993839285;994946754;Keimilly.Benta@piscinasbarcacellos.pb;3;27288455;12211246181
19;1;Lícia Tom;08/07/1975;1;Barcelinhos;Barcelos;Braga;2;;Rua de Barcelinhos Nº93;4750;Barcelos;927267844;997510582;Lícia.Tom@piscinasbarcacellos.pb;3;24270080;80338118688
20;1;kevin Chaves;19/03/1995;1;Barqueiros;Barcelos;Braga;1;Zita Jamanta;Rua de Barqueiros Nº48;4750;Barcelos;957563854;961334651;kevin.Chaves@piscinasbarcacellos.pb;3;89366317;27190260000
21;1;Dhiyanshi Piu;23/03/1980;1;Cambeses;Barcelos;Braga;1;Ion Papa;Rua de Cambeses Nº12;4750;Barcelos;927523378;978652443;Dhiyanshi.Piu@piscinasbarcacellos.pb;2;96649975;30974791460
22;1;Vidhi Sena;10/09/1993;1;Carapeços;Barcelos;Braga;2;;Rua de Carapeços Nº67;4750;Barcelos;946987915;967580496;Vidhi.Sena@piscinasbarcacellos.pb;1;20037708;30628901321
23;1;Geovana Déca;06/01/1976;1;Carvalhal;Barcelos;Braga;1;Viktoria Sol;Rua de Carvalhal Nº79;4750;Barcelos;974769487;938193807;Geovana.Déca@piscinasbarcacellos.pb;1;39726508;23233067888
24;1;Djamal Negão;03/02/1992;1;Carvalhas;Barcelos;Braga;2;;Rua de Carvalhas Nº31;4750;Barcelos;953210485;943467461;Djamal.Negão@piscinasbarcacellos.pb;1;81480817;56769160915
25;1;Ayla Pipo;05/01/1978;1;Cossourado;Barcelos;Braga;1;Euridce Kaká;Rua de Cossourado Nº48;4750;Barcelos;939900641;954329450;Ayla.Pipo@piscinasbarcacellos.pb;2;48875592;76870679659
26;1;Tawila Guinho;13/10/1977;1;Cristelo;Barcelos;Braga;2;;Rua de Cristelo Nº69;4750;Barcelos;996801285;943513941;Tawila.Guinho@piscinasbarcacellos.pb;1;14482790;48561626495
27;1;Emeka Careca;22/06/1982;1;Fornelos;Barcelos;Braga;2;;Rua de Fornelos Nº35;4750;Barcelos;965461638;952701172;Emeka.Careca@piscinasbarcacellos.pb;3;27667906;88860496693
